,year,month,day,num1,num2,num3,num4,num5,num6,numzz
121,1958,02,09,25,30,37,40,43,45,
122,1958,02,16,8,15,21,36,37,45,
123,1958,02,23,2,3,12,17,19,26,
124,1958,03,02,9,11,21,24,27,48,
125,1958,03,09,5,10,11,20,36,49,
126,1958,03,16,2,6,8,17,18,35,
127,1958,03,23,5,20,22,27,39,43,
128,1958,03,30,22,28,30,34,38,46,
129,1958,04,07,23,24,29,36,44,49,
130,1958,04,13,10,13,16,28,29,47,
131,1958,04,20,3,5,22,25,27,49,
132,1958,04,27,1,9,21,25,30,38,
133,1958,05,04,10,15,31,32,38,48,
134,1958,05,11,2,7,25,32,36,38,
135,1958,05,18,18,21,26,34,41,49,
136,1958,05,25,3,6,8,29,37,38,
137,1958,06,01,24,25,30,31,33,43,
138,1958,06,08,8,9,32,34,46,48,
139,1958,06,15,13,24,30,32,33,46,
140,1958,06,22,17,24,26,30,32,37,
141,1958,06,29,8,9,10,15,27,36,
142,1958,07,06,6,28,31,33,39,46,
143,1958,07,13,17,18,19,21,36,49,
144,1958,07,20,3,4,29,30,44,49,
145,1958,07,27,17,35,41,42,47,48,
146,1958,08,03,10,14,18,24,46,48,
147,1958,08,10,9,14,22,26,34,36,
148,1958,08,17,1,10,17,20,29,39,
149,1958,08,24,18,28,35,37,42,45,
150,1958,08,31,14,19,21,31,32,45,
151,1958,09,07,13,21,37,44,45,47,
152,1958,09,14,1,5,9,33,35,40,
153,1958,09,21,1,7,13,14,20,32,
154,1958,09,28,9,22,27,35,39,46,
155,1958,10,05,2,4,8,30,38,44,
156,1958,10,12,6,16,19,20,25,33,
157,1958,10,19,4,6,45,46,48,49,
158,1958,10,26,6,21,30,33,34,36,
159,1958,11,02,7,8,13,29,47,49,
160,1958,11,09,8,11,12,18,44,46,
161,1958,11,16,11,21,22,25,45,47,
162,1958,11,23,4,18,19,22,25,49,
163,1958,11,30,11,18,19,44,46,49,
164,1958,12,07,1,4,13,17,27,28,
165,1958,12,14,9,11,13,26,31,48,
166,1958,12,21,6,9,15,17,40,45,
167,1958,12,28,12,14,19,41,44,49,
168,1959,01,04,2,13,27,34,41,46,
169,1959,01,11,7,18,28,44,45,46,
170,1959,01,18,2,4,6,40,41,43,
171,1959,01,25,5,27,28,41,44,47,
172,1959,02,01,1,6,25,26,33,41,
173,1959,02,08,6,11,13,15,25,33,
174,1959,02,15,6,8,11,25,29,33,
175,1959,02,22,5,18,29,44,47,49,
